lhs_size,rhs_size,naive_time_us,fft_time_us
200,200,462,253
200,200,672,371
200,200,405,262
300,200,630,288
300,200,1123,515
300,200,884,280
300,200,586,323
300,200,677,295
300,200,954,304
300,200,685,456
300,200,617,283
300,200,669,255
300,200,649,289
300,200,603,264
300,200,712,264
300,200,716,325
300,200,1434,589
300,200,584,279
300,200,646,258
300,200,603,256
300,200,879,344
300,200,648,274
300,200,583,270
300,200,862,285
300,200,583,323
300,200,824,338
300,200,781,334
300,200,602,257
300,200,583,254
300,200,627,257
300,300,901,357
300,300,1602,395
300,300,930,369
300,300,1633,521
300,300,1905,518
300,300,899,395
300,300,1002,391
300,300,927,335
300,300,1143,341
300,300,941,410
300,300,993,417
300,300,982,374
300,300,991,480
300,300,927,366
300,300,931,317
300,300,1249,385
300,300,1065,316
300,300,1167,348
300,300,914,315
300,300,959,313
300,300,891,315
300,300,932,317
300,300,934,432
300,300,1388,486
300,300,1065,455
300,300,907,324
300,300,937,316
300,300,946,314
300,300,958,393
300,300,936,342
300,300,1224,430
300,300,1007,322
300,300,918,332
300,300,1081,545
300,300,941,320
300,300,1577,464
300,300,932,317
300,300,915,318
300,300,933,315
300,300,1559,473
300,300,927,321
300,300,1523,439
300,300,1012,453
300,300,1320,336
300,300,868,314
300,300,1343,412
300,300,924,385
300,300,941,319
300,300,945,379
300,300,1568,471
300,300,888,361
300,300,966,318
300,300,895,318
300,300,890,316
300,300,917,313
300,300,916,317
300,300,948,330
300,300,916,314
300,300,924,326
300,300,1249,423
300,300,1067,320
300,300,868,314
300,300,913,314
300,300,941,318
300,300,1167,317
300,300,1321,464
300,300,1145,344
300,300,921,317
300,300,870,372
300,300,1025,416
300,300,924,316
300,300,1152,314
300,300,893,319
300,300,892,318
300,300,961,319
300,300,911,314
300,300,940,315
300,300,1287,430
300,300,892,318
300,300,1061,391
300,300,924,315
300,300,945,314
300,300,1554,457
300,300,882,316
300,300,1224,416
300,300,938,314
300,300,961,318
300,300,867,311
300,300,919,311
300,300,928,315
300,300,2582,536
300,300,978,318
300,300,892,318
300,300,892,316
300,300,918,315
300,300,869,344
300,300,926,316
300,300,922,320
300,300,870,316
300,300,926,318
300,300,947,326
300,300,943,318
300,300,868,314
300,300,917,315
300,300,935,318
300,300,1547,500
300,300,971,408
300,300,868,319
300,300,926,313
300,300,1018,508
300,300,940,387
300,300,1241,520
300,300,920,313
300,300,1205,442
300,300,926,393
300,300,917,376
300,300,961,447
300,300,1242,315
300,300,968,313
300,300,1566,455
300,300,972,316
300,300,1027,314
300,300,1386,452
300,300,1153,459
300,300,1310,356
300,300,919,315
300,300,924,424
300,300,869,382
300,300,1332,449
300,300,950,317
300,300,922,317
300,300,1311,313
300,300,915,313
300,300,871,314
300,300,1303,446
300,300,917,326
300,300,970,410
300,300,1512,438
300,300,917,379
300,300,919,314
300,300,870,314
300,300,928,315
300,300,919,314
300,300,1581,469
300,300,1234,328
300,300,871,449
300,300,1113,313
300,300,915,316
300,300,1322,459
300,300,934,318
300,300,921,315
300,300,996,313
300,300,976,316
300,300,939,318
300,300,941,327
300,300,923,316
300,300,956,378
300,300,923,315
300,300,927,316
300,300,932,397
300,300,1391,590
300,300,1326,403
300,300,1439,440
300,300,969,315
300,300,922,317
300,300,923,316
300,300,1113,417
300,300,992,319
300,300,918,318
300,300,1012,315
300,300,984,312
300,300,979,325
300,300,868,314
300,300,934,345
300,300,939,323
300,300,870,313
300,300,979,312
300,300,993,317
300,300,967,314
300,300,991,323
300,300,869,380
300,300,1274,489
300,300,1049,484
300,300,921,316
300,300,973,315
300,300,951,318
300,300,1105,317
300,300,932,316
300,300,1536,478
300,300,869,318
300,300,941,315
300,300,942,313
300,300,921,316
300,300,914,316
300,300,868,318
300,300,925,317
300,300,959,315
300,300,870,310
300,300,920,315
300,300,1319,348
300,300,928,329
300,300,915,400
300,300,936,316
300,300,921,314
300,300,1348,377
300,300,870,314
300,300,1064,411
300,300,913,315
300,300,1013,316
300,300,1416,492
300,300,936,315
